"Country","Number of publications"
"France","22991"
"United States of America","1337"
"Germany","796"
"United Kingdom","720"
"Canada","602"
"Italy","553"
"Switzerland","437"
"Spain","420"
"China","343"
"Belgium","338"
"Brazil","299"
"Netherlands","285"
"Japan","252"
"Denmark","216"
"Australia","176"
"Tunisia","175"
"Austria","171"
"Sweden","168"
"Algeria","142"
"Luxembourg","122"
"India","120"
"Israel","116"
"Greece","112"
"Norway","104"
"Portugal","101"
"Ireland","98"
"Mexico","96"
"Czech Rep.","91"
"Lebanon","91"
"Finland","81"
"Poland","77"
"Chile","60"
"Singapore","55"
"Uruguay","54"
"Iceland","53"
"Argentina","51"
"Morocco","47"
"Vietnam","45"
"Korea","42"
"Taiwan","39"
"Cameroon","37"
"Romania","36"
"Hungary","34"
"Turkey","33"
"Saudi Arabia","24"
"Senegal","24"
"South Africa","24"
"Bulgaria","23"
"Cyprus","22"
"Russia","21"
"Egypt","17"
"New Zealand","16"
"Croatia","13"
"Madagascar","13"
"Burkina Faso","12"
"Qatar","11"
"Serbia","10"
"Côte d'Ivoire","9"
"Indonesia","9"
"Pakistan","9"
"Venezuela","9"
"United Arab Emirates","8"
"Slovenia","8"
"Cuba","7"
"Ecuador","7"
"Iran","7"
"Mali","7"
"New Caledonia","7"
"Colombia","5"
"Thailand","5"
"Estonia","4"
"Syria","4"
"Benin","3"
"Kenya","3"
"Macedonia","3"
"Peru","3"
"Kazakhstan","2"
"Lithuania","2"
"Montenegro","2"
"Malaysia","2"
"Nigeria","2"
"Slovakia","2"
"Albania","1"
"Armenia","1"
"Bosnia and Herz.","1"
"Brunei","1"
"Belarus","1"
"Congo","1"
"Georgia","1"
"Greenland","1"
"Gambia","1"
