"Country","Number of publications"
"FR","22991"
"US","1337"
"GM","796"
"UK","720"
"CA","602"
"IT","553"
"SZ","437"
"SP","420"
"CH","343"
"BE","338"
"BR","299"
"NL","285"
"JA","252"
"DA","216"
"AS","176"
"TS","175"
"AU","171"
"SW","168"
"AG","142"
"LU","122"
"IN","120"
"IS","116"
"GR","112"
"NO","104"
"PO","101"
"EI","98"
"MX","96"
"EZ","91"
"LE","91"
"FI","81"
"PL","77"
"CI","60"
"SN","55"
"UY","54"
"IC","53"
"AR","51"
"MO","47"
"VM","45"
"KS","42"
"TW","39"
"CM","37"
"RO","36"
"HU","34"
"TU","33"
"SA","24"
"SG","24"
"SF","24"
"BU","23"
"CY","22"
"RS","21"
"EG","17"
"NZ","16"
"HR","13"
"MA","13"
"UV","12"
"QA","11"
"RI","10"
"IV","9"
"ID","9"
"PK","9"
"VE","9"
"AE","8"
"SI","8"
"CU","7"
"EC","7"
"IR","7"
"ML","7"
"NC","7"
"CO","5"
"TH","5"
"EN","4"
"SY","4"
"BN","3"
"KE","3"
"MK","3"
"PE","3"
"KZ","2"
"LH","2"
"MJ","2"
"MY","2"
"NI","2"
"LO","2"
"AL","1"
"AM","1"
"BK","1"
"BX","1"
"BO","1"
"CF","1"
"GG","1"
"GL","1"
"GA","1"
